START DATE;START TIME;END DATE;END TIME;LOCATION;;;DESCRIPTION;SUBJECT
2025-02-17;9:30:00;2025-02-17;12:30:00;C116;Entrepreneurship & Innovation;Lezione;Aurelio Ravarini;A14903 Organizing Digital Change
2025-02-18;14:00:00;2025-02-18;16:00:00;C108;Entrepreneurship & Innovation;Lezione;;A14903 Organizing Digital Change
2025-02-18;16:15:00;2025-02-18;18:15:00;C108;Entrepreneurship & Innovation;Lezione;;A14903 Organizing Digital Change
2025-02-19;14:00:00;2025-02-19;16:00:00;C218;Entrepreneurship & Innovation;Lezione;;A14903 Organizing Digital Change
2025-02-19;16:15:00;2025-02-19;18:15:00;C218;Entrepreneurship & Innovation;Lezione;;A14903 Organizing Digital Change
2025-02-21;14:00:00;2025-02-21;16:00:00;C108;Entrepreneurship & Innovation;Lezione;;A14903 Organizing Digital Change
2025-02-21;16:15:00;2025-02-21;18:15:00;C108;Entrepreneurship & Innovation;Lezione;;A14903 Organizing Digital Change
2025-02-25;10:45:00;2025-02-25;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Aurelio Ravarini;A14903 Organizing Digital Change
2025-03-04;10:45:00;2025-03-04;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Aurelio Ravarini;A14903 Organizing Digital Change
2025-03-11;10:45:00;2025-03-11;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Aurelio Ravarini;A14903 Organizing Digital Change
2025-03-25;10:45:00;2025-03-25;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Emanuele Strada;A14903 Organizing Digital Change
2025-04-01;10:45:00;2025-04-01;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Emanuele Strada;A14903 Organizing Digital Change
2025-04-08;10:45:00;2025-04-08;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Emanuele Strada;A14903 Organizing Digital Change
2025-04-15;10:45:00;2025-04-15;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Emanuele Strada;A14903 Organizing Digital Change
2025-05-07;10:45:00;2025-05-07;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Alice Canavesi;A14903 Organizing Digital Change
2025-05-20;10:45:00;2025-05-20;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Alice Canavesi;A14903 Organizing Digital Change
2025-05-27;10:45:00;2025-05-27;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Alice Canavesi;A14903 Organizing Digital Change
2025-06-03;10:45:00;2025-06-03;13:45:00;C110;Entrepreneurship & Innovation;Lezione;Alice Canavesi;A14903 Organizing Digital Change
2025-06-10;10:45:00;2025-06-10;13:45:00;C218;Entrepreneurship & Innovation;esame;;A14903 Organizing Digital Change
2025-02-17;8:30:00;2025-02-17;11:30:00;C226;Accounting, Finance and Control;Lezione;Chiara Gigliarano;A00036 Business Analytics - Decision Analysis
2025-02-24;8:30:00;2025-02-24;11:30:00;C226;Accounting, Finance and Control;Lezione;Chiara Gigliarano;A00036 Business Analytics - Decision Analysis
2025-03-03;8:30:00;2025-03-03;11:30:00;C226;Accounting, Finance and Control;Lezione;Chiara Gigliarano;A00036 Business Analytics - Decision Analysis
2025-03-06;11:45:00;2025-03-06;13:45:00;C112;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-03-10;8:30:00;2025-03-10;11:30:00;C224;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-03-13;11:45:00;2025-03-13;13:45:00;C112;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-03-17;8:30:00;2025-03-17;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-03-20;11:45:00;2025-03-20;13:45:00;C112;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-03-24;8:30:00;2025-03-24;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-03-27;11:45:00;2025-03-27;13:45:00;C112;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-04-03;11:45:00;2025-04-03;13:45:00;C112;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-04-07;8:30:00;2025-04-07;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-04-14;8:30:00;2025-04-14;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-05-05;8:30:00;2025-05-05;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-05-08;11:45:00;2025-05-08;13:45:00;C112;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-05-12;8:30:00;2025-05-12;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-05-26;8:30:00;2025-05-26;11:30:00;C226;Accounting, Finance and Control;Lezione;;A00036 Business Analytics - Decision Analysis
2025-02-19;16:15:00;2025-02-19;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 2
2025-02-24;16:15:00;2025-02-24;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 3
2025-03-03;16:15:00;2025-03-03;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 4
2025-03-10;16:15:00;2025-03-10;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 5
2025-03-17;16:15:00;2025-03-17;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 6
2025-03-24;16:15:00;2025-03-24;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 7
2025-04-07;16:15:00;2025-04-07;18:15:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 8
2025-04-14;14:00:00;2025-04-14;16:00:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 9
2025-04-16;14:00:00;2025-04-16;16:00:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 10
2025-04-28;14:00:00;2025-04-28;16:00:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 11
2025-04-30;14:00:00;2025-04-30;16:00:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 12
2025-05-05;14:00:00;2025-05-05;16:00:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 13
2025-05-07;14:00:00;2025-05-07;16:00:00;C230;A-Z;Lezione;Sabrina Dotti;IL0002 Italian Level 14
2025-05-12;14:00:00;2025-05-12;16:00:00;C230;A-Z;esame;Sabrina Dotti;IL0002 Italian Level 15
